Domain Code,Domain,Item Code,Item,Description
GN,Emissions: Energy Use,6801,Gas-Diesel oil,
GN,Emissions: Energy Use,6803,Gas-diesel oils used in fisheries,
GN,Emissions: Energy Use,6805,Liquefied petroleum gas (LPG),
GN,Emissions: Energy Use,6800,Motor Gasoline,
GN,Emissions: Energy Use,6802,Natural gas (including LNG),
GN,Emissions: Energy Use,6813,Total Energy,
GN,Emissions: Energy Use,6812,Total Energy (excl. electricity),
GE,Emissions: Enteric Fermentation,1755,All Animals,
GE,Emissions: Enteric Fermentation,1107,Asses,Equus asinus. See 866.
GE,Emissions: Enteric Fermentation,946,Buffaloes,"Indian, Asiatic, pigmy, water buffalo (Bubalus bubalus; B. arnee; B. depressicornis); African buffalo (genus Syncerus); American bison (Bison bison); European bison (Bison bonasus); beeffalo (cross between a bison and a domesticated beef animal). See 866. Excludes wild bisons and buffaloes."
GE,Emissions: Enteric Fermentation,1126,Camels,Bactrian camel (Camelus bactrianus); Arabian camel (C. dromedarius). See 866.
GE,Emissions: Enteric Fermentation,1760,Camels and Llamas,
GE,Emissions: Enteric Fermentation,1757,Cattle,
GE,Emissions: Enteric Fermentation,960,"Cattle, dairy","Common ox (Bos taurus); zebu, humped ox (Bos indicus); Asiatic ox (subgenus Bibos); Tibetan yak (Poephagus grunniens). Animals of the genus listed, that are producing milk in commercial quantities for human consumption."
GE,Emissions: Enteric Fermentation,961,"Cattle, non-dairy","Common ox (Bos taurus); zebu, humped ox (Bos indicus); Asiatic ox (subgenus Bibos); Tibetan yak (Poephagus grunniens). Animals of the genus listed, that are produce calves for meat or to provide draft power."
GE,Emissions: Enteric Fermentation,1016,Goats,"Capra spp.. See 866. Includes Hircus, Ibex, Nubiana, Pyrenaica, Tibetana, Kashmir and Angora."
GE,Emissions: Enteric Fermentation,1096,Horses,Equus caballus. See 866.
GE,Emissions: Enteric Fermentation,1177,Llamas,See Other camelids.
GE,Emissions: Enteric Fermentation,1110,Mules,Includes hinnies. Mules are offspring of a male ass and a female horse (mare); a hinny is the offspring of a female ass and a male horse (stallion). Both are sterile. See 866.
GE,Emissions: Enteric Fermentation,1759,Mules and Asses,
GE,Emissions: Enteric Fermentation,976,Sheep,"Ovis spp.. See 866. Includes Uriel, Argali, Bighorn, Karakul and Astrakhan."
GE,Emissions: Enteric Fermentation,1749,Sheep and Goats,
GE,Emissions: Enteric Fermentation,1048,Swine,
GE,Emissions: Enteric Fermentation,1051,"Swine, breeding",
GE,Emissions: Enteric Fermentation,1049,"Swine, market",
GI,Emissions: Fires,6793,Closed and open shrubland,
GI,Emissions: Fires,6791,Closed shrubland,
GI,Emissions: Fires,6993,Fires in organic soils,
GI,Emissions: Fires,6992,Forest fires,
GI,Emissions: Fires,6794,Grassland,
GI,Emissions: Fires,6796,Humid tropical forest,
GI,Emissions: Fires,6792,Open shrubland,
GI,Emissions: Fires,6797,Other forest,
GI,Emissions: Fires,6760,Savanna,"A lowland, tropical or subtropical vegetation formation, characterized by a continuous grassland cover occasionally interrupted by trees and shrubs."
GI,Emissions: Fires,6790,Savanna and woody savanna,
GI,Emissions: Fires,6795,Savanna fires,
GI,Emissions: Fires,6789,Woody savanna,
GF,Emissions: Forests,6749,Carbon stock change in forests,
GF,Emissions: Forests,6751,Forestland,
GF,Emissions: Forests,6750,Net Forest conversion,"The net forest conversion is calculated as the difference of forest area for two consecutive years, consistently with IPCC approach 1. The term “net” indicates that no further specification on the underlying dynamics of the computed land area change is possible. Greenhouse gas emissions consist of the net contribution of CO2 sources and sinks due to deforestation, reforestation and afforestation activities within countries."
GU,Emissions: Manure applied to Soils,1755,All Animals,
GU,Emissions: Manure applied to Soils,1107,Asses,Equus asinus. See 866.
GU,Emissions: Manure applied to Soils,946,Buffaloes,"Indian, Asiatic, pigmy, water buffalo (Bubalus bubalus; B. arnee; B. depressicornis); African buffalo (genus Syncerus); American bison (Bison bison); European bison (Bison bonasus); beeffalo (cross between a bison and a domesticated beef animal). See 866. Excludes wild bisons and buffaloes."
GU,Emissions: Manure applied to Soils,1126,Camels,Bactrian camel (Camelus bactrianus); Arabian camel (C. dromedarius). See 866.
GU,Emissions: Manure applied to Soils,1760,Camels and Llamas,
GU,Emissions: Manure applied to Soils,1757,Cattle,
GU,Emissions: Manure applied to Soils,960,"Cattle, dairy","Common ox (Bos taurus); zebu, humped ox (Bos indicus); Asiatic ox (subgenus Bibos); Tibetan yak (Poephagus grunniens). Animals of the genus listed, that are producing milk in commercial quantities for human consumption."
GU,Emissions: Manure applied to Soils,961,"Cattle, non-dairy","Common ox (Bos taurus); zebu, humped ox (Bos indicus); Asiatic ox (subgenus Bibos); Tibetan yak (Poephagus grunniens). Animals of the genus listed, that are produce calves for meat or to provide draft power."
GU,Emissions: Manure applied to Soils,1054,Chickens,
GU,Emissions: Manure applied to Soils,1053,"Chickens, broilers",
GU,Emissions: Manure applied to Soils,1052,"Chickens, layers",
GU,Emissions: Manure applied to Soils,1068,Ducks,Anas spp.. See 1057.
GU,Emissions: Manure applied to Soils,1016,Goats,"Capra spp.. See 866. Includes Hircus, Ibex, Nubiana, Pyrenaica, Tibetana, Kashmir and Angora."
GU,Emissions: Manure applied to Soils,1096,Horses,Equus caballus. See 866.
GU,Emissions: Manure applied to Soils,1177,Llamas,See Other camelids.
GU,Emissions: Manure applied to Soils,1110,Mules,Includes hinnies. Mules are offspring of a male ass and a female horse (mare); a hinny is the offspring of a female ass and a male horse (stallion). Both are sterile. See 866.
GU,Emissions: Manure applied to Soils,1759,Mules and Asses,
GU,Emissions: Manure applied to Soils,2029,Poultry Birds,
GU,Emissions: Manure applied to Soils,976,Sheep,"Ovis spp.. See 866. Includes Uriel, Argali, Bighorn, Karakul and Astrakhan."
GU,Emissions: Manure applied to Soils,1749,Sheep and Goats,
GU,Emissions: Manure applied to Soils,1048,Swine,
GU,Emissions: Manure applied to Soils,1051,"Swine, breeding",
GU,Emissions: Manure applied to Soils,1049,"Swine, market",
GU,Emissions: Manure applied to Soils,1079,Turkeys,Meleagris gallopavo. See 1057.
GP,Emissions: Manure left on Pasture,1755,All Animals,
GP,Emissions: Manure left on Pasture,1107,Asses,Equus asinus. See 866.
GP,Emissions: Manure left on Pasture,946,Buffaloes,"Indian, Asiatic, pigmy, water buffalo (Bubalus bubalus; B. arnee; B. depressicornis); African buffalo (genus Syncerus); American bison (Bison bison); European bison (Bison bonasus); beeffalo (cross between a bison and a domesticated beef animal). See 866. Excludes wild bisons and buffaloes."
GP,Emissions: Manure left on Pasture,1126,Camels,Bactrian camel (Camelus bactrianus); Arabian camel (C. dromedarius). See 866.
GP,Emissions: Manure left on Pasture,1760,Camels and Llamas,
GP,Emissions: Manure left on Pasture,1757,Cattle,
GP,Emissions: Manure left on Pasture,960,"Cattle, dairy","Common ox (Bos taurus); zebu, humped ox (Bos indicus); Asiatic ox (subgenus Bibos); Tibetan yak (Poephagus grunniens). Animals of the genus listed, that are producing milk in commercial quantities for human consumption."
GP,Emissions: Manure left on Pasture,961,"Cattle, non-dairy","Common ox (Bos taurus); zebu, humped ox (Bos indicus); Asiatic ox (subgenus Bibos); Tibetan yak (Poephagus grunniens). Animals of the genus listed, that are produce calves for meat or to provide draft power."
GP,Emissions: Manure left on Pasture,1054,Chickens,
GP,Emissions: Manure left on Pasture,1053,"Chickens, broilers",
GP,Emissions: Manure left on Pasture,1052,"Chickens, layers",
GP,Emissions: Manure left on Pasture,1068,Ducks,Anas spp.. See 1057.
GP,Emissions: Manure left on Pasture,1016,Goats,"Capra spp.. See 866. Includes Hircus, Ibex, Nubiana, Pyrenaica, Tibetana, Kashmir and Angora."
GP,Emissions: Manure left on Pasture,1096,Horses,Equus caballus. See 866.
GP,Emissions: Manure left on Pasture,1177,Llamas,See Other camelids.
GP,Emissions: Manure left on Pasture,1110,Mules,Includes hinnies. Mules are offspring of a male ass and a female horse (mare); a hinny is the offspring of a female ass and a male horse (stallion). Both are sterile. See 866.
GP,Emissions: Manure left on Pasture,1759,Mules and Asses,
GP,Emissions: Manure left on Pasture,2029,Poultry Birds,
GP,Emissions: Manure left on Pasture,976,Sheep,"Ovis spp.. See 866. Includes Uriel, Argali, Bighorn, Karakul and Astrakhan."
GP,Emissions: Manure left on Pasture,1749,Sheep and Goats,
GP,Emissions: Manure left on Pasture,1048,Swine,
GP,Emissions: Manure left on Pasture,1051,"Swine, breeding",
GP,Emissions: Manure left on Pasture,1049,"Swine, market",
GP,Emissions: Manure left on Pasture,1079,Turkeys,Meleagris gallopavo. See 1057.
GM,Emissions: Manure Management,1755,All Animals,
GM,Emissions: Manure Management,1107,Asses,Equus asinus. See 866.
GM,Emissions: Manure Management,946,Buffaloes,"Indian, Asiatic, pigmy, water buffalo (Bubalus bubalus; B. arnee; B. depressicornis); African buffalo (genus Syncerus); American bison (Bison bison); European bison (Bison bonasus); beeffalo (cross between a bison and a domesticated beef animal). See 866. Excludes wild bisons and buffaloes."
GM,Emissions: Manure Management,1126,Camels,Bactrian camel (Camelus bactrianus); Arabian camel (C. dromedarius). See 866.
GM,Emissions: Manure Management,1760,Camels and Llamas,
GM,Emissions: Manure Management,1757,Cattle,
GM,Emissions: Manure Management,960,"Cattle, dairy","Common ox (Bos taurus); zebu, humped ox (Bos indicus); Asiatic ox (subgenus Bibos); Tibetan yak (Poephagus grunniens). Animals of the genus listed, that are producing milk in commercial quantities for human consumption."
GM,Emissions: Manure Management,961,"Cattle, non-dairy","Common ox (Bos taurus); zebu, humped ox (Bos indicus); Asiatic ox (subgenus Bibos); Tibetan yak (Poephagus grunniens). Animals of the genus listed, that are produce calves for meat or to provide draft power."
GM,Emissions: Manure Management,1054,Chickens,
GM,Emissions: Manure Management,1053,"Chickens, broilers",
GM,Emissions: Manure Management,1052,"Chickens, layers",
GM,Emissions: Manure Management,1068,Ducks,Anas spp.. See 1057.
GM,Emissions: Manure Management,1016,Goats,"Capra spp.. See 866. Includes Hircus, Ibex, Nubiana, Pyrenaica, Tibetana, Kashmir and Angora."
GM,Emissions: Manure Management,1096,Horses,Equus caballus. See 866.
GM,Emissions: Manure Management,1177,Llamas,See Other camelids.
GM,Emissions: Manure Management,1110,Mules,Includes hinnies. Mules are offspring of a male ass and a female horse (mare); a hinny is the offspring of a female ass and a male horse (stallion). Both are sterile. See 866.
GM,Emissions: Manure Management,1759,Mules and Asses,
GM,Emissions: Manure Management,2029,Poultry Birds,
GM,Emissions: Manure Management,976,Sheep,"Ovis spp.. See 866. Includes Uriel, Argali, Bighorn, Karakul and Astrakhan."
GM,Emissions: Manure Management,1749,Sheep and Goats,
GM,Emissions: Manure Management,1048,Swine,
GM,Emissions: Manure Management,1051,"Swine, breeding",
GM,Emissions: Manure Management,1049,"Swine, market",
GM,Emissions: Manure Management,1079,Turkeys,Meleagris gallopavo. See 1057.
GR,Emissions: Rice Cultivation,27,"Rice, paddy","Oryza spp., mainly oryza sativa. Rice grain after threshing and winnowing. Also known as rice in the husk and rough rice. Used mainly for human food."
GY,Emissions: Synthetic Fertilizers,3102,Nutrient nitrogen N (total),Total nitrogen (N) from all fertilizer products
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2666,Abaca,Default composition: 809 Manila fibre (abaca)
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2659,"Alcohol, Non-Food",Default composition: 632 Alcohol non food
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2924,Alcoholic Beverages,
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2617,Apples and products,"Default composition: 515 Apples, 518 Juice, apple, single strength, 519 Juice, apple, concentrated"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2615,Bananas,Default composition: 486 Bananas
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2513,Barley and products,"Default composition: 44 Barley, 45 Barley, pot, 46 Barley, pearled, 47 Bran, barley, 48 Flour, barley and grits, 49 Malt, 50 Malt extract"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2546,Beans,"Default composition: 176 Beans, dry"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2656,Beer,Default composition: 51 Beer of barley
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2658,"Beverages, Alcoholic","Default composition: 634 Beverages, distilled alcoholic"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2657,"Beverages, Fermented","Default composition: 26 Beverages, fermented wheat, 39 Beverages, fermented rice, 66 Beer of maize, 82 Beer of millet, 86 Beer of sorghum, 517 Cider etc"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2600,Brans,"Default composition: 17 Bran, wheat, 35 Bran, rice, 47 Bran, barley, 59 Bran, maize, 73 Bran, rye, 77 Bran, oats, 81 Bran, millet, 85 Bran, sorghum, 91 Bran, buckwheat, 96 Bran, fonio, 99 Bran, triticale, 105 Bran, mixed grains, 112 Bran, cereals nes, 213 Bran, pulses"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2532,Cassava and products,"Default composition: 125 Cassava, 126 Flour, cassava, 127 Tapioca, cassava, 128 Cassava dried, 129 Starch, cassava"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2905,Cereals - Excluding Beer,
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2520,"Cereals, Other","Default composition: 68 Popcorn, 89 Buckwheat, 90 Flour, buckwheat, 91 Bran, buckwheat, 92 Quinoa, 94 Fonio, 95 Flour, fonio, 96 Bran, fonio, 97 Triticale, 98 Flour, triticale, 99 Bran, triticale, 101 Canary seed, 103 Grain, mixed, 104 Flour, mixed grain, 105 Bran, mixed grains, 108 Cereals, nes, 111 Flour, cereals, 112 Bran, cereals nes, 113 Cereal preparations, nes"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2614,"Citrus, Other","Default composition: 512 Fruit, citrus nes, 513 Juice, citrus, single strength, 514 Juice, citrus, concentrated"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2642,Cloves,Default composition: 698 Cloves
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2633,Cocoa Beans and products,"Default composition: 661 Cocoa, beans, 662 Cocoa, paste, 665 Cocoa, powder & cake, 666 Chocolate products nes"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2578,Coconut Oil,"Default composition: 252 Oil, coconut (copra)"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2560,Coconuts - Incl Copra,"Default composition: 249 Coconuts, 250 Coconuts, desiccated, 251 Copra"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2630,Coffee and products,"Default composition: 656 Coffee, green, 657 Coffee, roasted, 659 Coffee, extracts"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2596,Copra Cake,"Default composition: 253 Cake, copra"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2661,Cotton lint,Default composition: 767 Cotton lint
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2559,Cottonseed,Default composition: 329 Cottonseed
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2594,Cottonseed Cake,"Default composition: 332 Cake, cottonseed"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2575,Cottonseed Oil,"Default composition: 331 Oil, cottonseed"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2619,Dates,Default composition: 577 Dates
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2919,Fruits - Excluding Wine,
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2625,"Fruits, Other","Default composition: 521 Pears, 523 Quinces, 526 Apricots, 527 Apricots, dry, 530 Cherries, sour, 531 Cherries, 534 Peaches and nectarines, 536 Plums and sloes, 537 Plums dried (prunes), 538 Juice, plum, single strength, 539 Juice, plum, concentrated, 541 Fruit, stone nes, 542 Fruit, pome nes, 544 Strawberries, 547 Raspberries, 549 Gooseberries, 550 Currants, 552 Blueberries, 554 Cranberries, 558 Berries nes, 567 Watermelons, 568 Melons, other (inc.cantaloupes), 569 Figs, 570 Figs dried, 571 Mangoes, mangosteens, guavas, 572 Avocados, 583 Juice, mango, 587 Persimmons, 591 Cashewapple, 592 Kiwi fruit, 600 Papayas, 603 Fruit, tropical fresh nes, 604 Fruit, tropical dried nes, 619 Fruit, fresh nes, 620 Fruit, dried nes, 622 Juice, fruit nes, 623 Fruit, prepared nes, 624 Flour, fruit, 625 Fruits, nuts, peel, sugar preserved, 626 Fruit, cooked, homogenized preparations"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2613,Grapefruit and products,"Default composition: 507 Grapefruit (inc. pomelos), 509 Juice, grapefruit, 510 Juice, grapefruit, concentrated"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2620,Grapes and products (excl wine),"Default composition: 560 Grapes, 561 Raisins, 562 Juice, grape, 563 Grapes, must"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2591,Groundnut Cake,"Default composition: 245 Cake, groundnuts"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2572,Groundnut Oil,"Default composition: 244 Oil, groundnut"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2820,Groundnuts (in Shell Eq),"Default composition: 242 Groundnuts, with shell"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2556,Groundnuts (Shelled Eq),"Default composition: 242 Groundnuts, with shell, 243 Groundnuts, shelled, 246 Groundnuts, prepared, 247 Peanut butter"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2667,"Hard Fibres, Other","Default composition: 800 Agave fibres nes, 813 Coir, 821 Fibre crops nes"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2680,Infant food,Default composition: 109 Infant food
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2662,Jute,Default composition: 780 Jute
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2663,Jute-Like Fibres,"Default composition: 782 Bastfibres, other"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2612,"Lemons, Limes and products","Default composition: 497 Lemons and limes, 498 Juice, lemon, single strength, 499 Juice, lemon, concentrated"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2514,Maize and products,"Default composition: 56 Maize, 57 Germ, maize, 58 Flour, maize, 59 Bran, maize, 63 Gluten, maize, 64 Starch, maize, 846 Feed and meal, gluten"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2582,Maize Germ Oil,"Default composition: 60 Oil, maize"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2517,Millet and products,"Default composition: 79 Millet, 80 Flour, millet, 81 Bran, millet"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2899,Miscellaneous,
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2928,Miscellaneous,
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2544,Molasses,Default composition: 165 Molasses
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2551,Nuts and products,"Default composition: 216 Brazil nuts, with shell, 217 Cashew nuts, with shell, 220 Chestnut, 221 Almonds, with shell, 222 Walnuts, with shell, 223 Pistachios, 224 Kola nuts, 225 Hazelnuts, with shell, 226 Areca nuts, 229 Brazil nuts, shelled, 230 Cashew nuts, shelled, 231 Almonds shelled, 232 Walnuts, shelled, 233 Hazelnuts, shelled, 234 Nuts, nes, 235 Nuts, prepared (exc. groundnuts)"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2516,Oats,"Default composition: 75 Oats, 76 Oats rolled, 77 Bran, oats"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2913,Oilcrops,
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2586,"Oilcrops Oil, Other","Default composition: 264 Butter of karite nuts, 266 Oil, castor beans, 276 Oil, tung nuts, 278 Oil, jojoba, 281 Oil, safflower, 297 Oil, poppy, 306 Vegetable tallow, 307 Oil, stillingia, 313 Oil, kapok, 334 Oil, linseed, 337 Oil, hempseed, 340 Oil, vegetable origin nes, 664 Cocoa, butter, 1241 Margarine, liquid, 1242 Margarine, short, 1273 Castor oil, hydrogenated (opal wax), 1274 Oil, boiled etc, 1275 Oil, hydrogenated"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2570,"Oilcrops, Other","Default composition: 263 Karite nuts (sheanuts), 265 Castor oil seed, 275 Tung nuts, 277 Jojoba seed, 280 Safflower seed, 296 Poppy seed, 299 Melonseed, 305 Tallowtree seed, 310 Kapok fruit, 311 Kapokseed in shell, 312 Kapokseed shelled, 333 Linseed, 336 Hempseed, 339 Oilseeds nes, 343 Flour, oilseeds"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2598,"Oilseed Cakes, Other","Default composition: 37 Cake, rice bran, 61 Cake, maize, 282 Cake, safflower, 298 Cake, poppy seed, 314 Cake, kapok, 335 Cake, linseed, 338 Cake, hempseed, 341 Cake, oilseeds nes"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2580,Olive Oil,"Default composition: 261 Oil, olive, virgin, 274 Oil, olive residues"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2563,Olives (including preserved),"Default composition: 260 Olives, 262 Olives preserved"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2602,Onions,"Default composition: 403 Onions, dry"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2611,"Oranges, Mandarines","Default composition: 490 Oranges, 491 Juice, orange, single strength, 492 Juice, orange, concentrated, 495 Tangerines, mandarins, clementines, satsumas, 496 Juice, tangerine"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2562,Palm kernels,"Default composition: 254 Oil, palm fruit, 256 Palm kernels"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2577,Palm Oil,"Default composition: 257 Oil, palm, 1276 Fatty acids, 1277 Fatty substance residues"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2595,Palmkernel Cake,"Default composition: 259 Cake, palm kernel"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2576,Palmkernel Oil,"Default composition: 258 Oil, palm kernel"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2547,Peas,"Default composition: 187 Peas, dry"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2640,Pepper,Default composition: 687 Pepper (piper spp.)
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2641,Pimento,"Default composition: 689 Chillies and peppers, dry"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2618,Pineapples and products,"Default composition: 574 Pineapples, 575 Pineapples canned, 576 Juice, pineapple, 580 Juice, pineapple, concentrated"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2616,Plantains,Default composition: 489 Plantains
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2531,Potatoes and products,"Default composition: 116 Potatoes, 117 Flour, potatoes, 118 Potatoes, frozen, 119 Starch, potatoes, 121 Tapioca, potatoes"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2911,Pulses,
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2549,"Pulses, Other and products","Default composition: 181 Broad beans, horse beans, dry, 191 Chick peas, 195 Cow peas, dry, 197 Pigeon peas, 201 Lentils, 203 Bambara beans, 205 Vetches, 210 Lupins, 211 Pulses, nes, 212 Flour, pulses, 213 Bran, pulses"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2593,Rape and Mustard Cake,"Default composition: 272 Cake, rapeseed, 294 Cake, mustard"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2574,Rape and Mustard Oil,"Default composition: 271 Oil, rapeseed, 293 Oil, mustard"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2558,Rape and Mustardseed,"Default composition: 270 Rapeseed, 292 Mustard seed, 295 Flour, mustard"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2804,Rice (Paddy Equivalent),"Default composition: 27 Rice, paddy, 33 Gluten, rice, 35 Bran, rice"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2805,Rice and products,"Default composition: 27 Rice, paddy, 28 Rice, husked, 29 Rice, milled/husked, 31 Rice, milled, 32 Rice, broken, 33 Gluten, rice, 34 Starch, rice, 35 Bran, rice, 38 Flour, rice"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2581,Ricebran Oil,"Default composition: 36 Oil, rice bran"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2815,Roots & Tuber Dry Equiv,
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2534,"Roots, Other","Default composition: 135 Yautia (cocoyam), 136 Taro (cocoyam), 149 Roots and tubers, nes, 150 Flour, roots and tubers nes, 151 Roots and tubers dried"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2672,Rubber,"Default composition: 836 Rubber, natural, 837 Rubber natural dry"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2515,Rye and products,"Default composition: 71 Rye, 72 Flour, rye, 73 Bran, rye"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2561,Sesame seed,Default composition: 289 Sesame seed
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2597,Sesameseed Cake,"Default composition: 291 Cake, sesame seed"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2579,Sesameseed Oil,"Default composition: 290 Oil, sesame"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2665,Sisal,Default composition: 789 Sisal
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2664,"Soft-Fibres, Other","Default composition: 771 Flax fibre raw, 773 Flax fibre and tow, 774 Flax tow waste, 777 Hemp tow waste, 778 Kapok fibre, 788 Ramie"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2518,Sorghum and products,"Default composition: 83 Sorghum, 84 Flour, sorghum, 85 Bran, sorghum"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2590,Soyabean Cake,"Default composition: 238 Cake, soybeans"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2571,Soyabean Oil,"Default composition: 237 Oil, soybean"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2555,Soyabeans,"Default composition: 236 Soybeans, 239 Soya sauce, 240 Soya paste, 241 Soya curd"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2923,Spices,
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2645,"Spices, Other","Default composition: 692 Vanilla, 693 Cinnamon (canella), 702 Nutmeg, mace and cardamoms, 711 Anise, badian, fennel, coriander, 720 Ginger, 723 Spices, nes"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2907,Starchy Roots,
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2922,Stimulants,
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2909,Sugar & Sweeteners,
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2542,Sugar (Raw Equivalent),"Default composition: 158 Sugar, cane, raw, centrifugal, 159 Sugar, beet, raw, centrifugal, 162 Sugar Raw Centrifugal, 164 Sugar refined, 168 Sugar confectionery, 171 Sugar flavoured"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2537,Sugar beet,Default composition: 157 Sugar beet
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2536,Sugar cane,Default composition: 156 Sugar cane
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2908,Sugar Crops,
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2541,Sugar non-centrifugal,Default composition: 163 Sugar non-centrifugal
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2827,"Sugar, Raw Equivalent","Default composition: 154 Fructose chemically pure, 155 Maltose chemically pure, 160 Maple sugar and syrups, 161 Sugar crops, nes, 162 Sugar Raw Centrifugal, 163 Sugar non-centrifugal, 166 Fructose and syrup, other, 167 Sugar, nes, 172 Glucose and dextrose, 173 Lactose"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2818,"Sugar, Refined Equiv",Default composition: 162 Sugar Raw Centrifugal
